POP,LOCAL,COND,HAB,CODE,SVL,TRL,HL,HW,HH,MO,PL,FLL,FL,TBL,4TL,HLL,Tltot,Tlori,W
(1)Leonte,Geres,UNBURN,NAT,CL1,56.43,30.05,18.3,6.78,4.51,10.65,12.44,16.91,8.34,6.75,12.93,28.56,103.63,86.9,3.07
(1)Leonte,Geres,UNBURN,NAT,CL2,52.62,25.7,19.03,6.81,4.42,10.32,11.77,15.96,6.82,6.03,11.95,27.44,96.16,76.98,2.7
(1)Leonte,Geres,UNBURN,NAT,CL3,55.02,27.75,19.06,7.89,4.77,10.96,12.77,17.44,8.22,6.97,14.98,29.25,65.84,8.26,3.01
(1)Leonte,Geres,UNBURN,NAT,CL4,56.82,28.69,19.68,6.95,3.98,11.43,12.48,17.97,8.93,6.86,13.53,29.42,90.49,38.59,3.04
(1)Leonte,Geres,UNBURN,NAT,CL5,63.52,32.9,21.79,8.16,5.45,12.54,14.25,19.59,8.46,7.44,14,31.78,113.98,113.98,4.4
(1)Leonte,Geres,UNBURN,NAT,CL6,61.35,32.9,19.65,7.52,5.95,11.51,12.91,17.48,8.18,7.05,13.52,28.41,76.35,22.32,3.84
(1)Leonte,Geres,UNBURN,NAT,CL7,55.85,26.83,19.97,6.82,4.47,11.49,13.13,18.1,8.07,7.42,13.32,28.76,79.78,31.24,3.14
(1)Leonte,Geres,UNBURN,NAT,CL8,56.17,28.24,18.78,6.88,4.55,11.26,12.7,16.61,8.4,7.01,12.86,29.24,74.78,20.89,3.08
(1)Leonte,Geres,UNBURN,NAT,CL9,57.43,28.91,19.69,7.2,4.38,10.9,13.32,15.09,7.51,6.63,13.88,29.12,101.45,76.75,3.34
(1)Leonte,Geres,UNBURN,NAT,CL10,46.03,22.32,15.32,5.82,4.15,8.95,9.76,14.09,6.22,5.22,10.35,23.46,68.12,32.81,1.69
(1)Leonte,Geres,UNBURN,NAT,CL11,57.8,28.49,18.65,7.43,4.91,10.41,12.39,16.96,8.42,6.78,13.77,30.37,90,90,2.94
(1)Leonte,Geres,UNBURN,NAT,CL12,57.07,29.25,21.6,6.93,4.08,12.11,13.53,17.45,7.94,6.5,12.32,26.89,77.66,15.66,3.43
(1)Leonte,Geres,UNBURN,NAT,CL13,53.1,25.48,19,6.76,4.18,10.42,11.89,17.93,8.2,6.63,12.79,27.58,96.83,96.83,2.88
(1)Leonte,Geres,UNBURN,NAT,CL14,53.32,25.73,17.79,6.42,3.82,10.45,12.01,15.09,7.04,5.96,10.52,25.65,75.84,28.97,2.29
(1)Leonte,Geres,UNBURN,NAT,CL15,57.4,28.61,19.46,7.08,4.97,10.84,12.38,18.76,8.47,7.4,13.55,29.37,93.09,29.39,3.07
