Logger,POP,LOCAL,HAB,COND,MICRO,Mean_TEMP,MAX_TEMP,MIN_TEMP,RANGE_TEMP,Dev_TEMP,Mean_HUM,MAX_HUM,MIN_HUM,RANGE_HUM,Dev_HUM
LABU001,(4)Luilhas,Lanhoso,NAT,BU,Stone,25.919,32.413,19.831,12.581,3.918,49.785,67.063,35.893,31.170,8.122
LABU002,(4)Luilhas,Lanhoso,NAT,BU,Stone,24.361,30.049,19.049,11.001,3.662,54.702,71.751,39.567,32.183,8.662
LABU003,(4)Luilhas,Lanhoso,NAT,BU,Bare,27.091,56.516,14.923,41.594,14.592,41.271,87.552,10.186,77.366,26.435
LABU004,(4)Luilhas,Lanhoso,NAT,BU,Bare,27.355,57.446,14.470,42.976,15.031,40.967,86.254,10.449,75.806,27.394
LAUN005,(3)Castelo,Lanhoso,HUMAN,UN,Stone,24.174,29.596,19.844,9.751,2.787,60.887,74.565,45.404,29.161,8.270
LAUN006,(3)Castelo,Lanhoso,HUMAN,UN,Stone,24.398,28.869,21.202,7.667,2.434,62.358,76.374,49.029,27.345,8.611
LAUN007,(3)Castelo,Lanhoso,HUMAN,UN,Bare,29.283,65.443,15.803,49.640,17.452,38.814,90.282,7.633,82.649,29.373
LAUN008,(3)Castelo,Lanhoso,HUMAN,UN,Bare,29.781,52.866,19.250,33.617,11.894,44.235,81.824,14.456,67.368,23.577
LEBU009,(2)Campo,Geres,NAT,BU,Stone,21.165,27.642,14.797,12.846,4.020,81.011,95.893,66.981,28.912,9.385
LEBU010,(2)Campo,Geres,NAT,BU,Stone,23.168,28.181,18.428,9.753,3.161,55.508,71.404,38.391,33.013,7.396
LEBU011,(2)Campo,Geres,NAT,BU,Bare,28.492,51.537,15.996,35.541,11.965,38.501,79.034,11.308,67.726,22.587
LEBU012,(2)Campo,Geres,NAT,BU,Bare,28.285,51.488,15.469,36.020,12.241,39.212,81.829,11.295,70.534,23.640
LEUN013,(1)Leonte,Geres,NAT,UN,Stone,19.505,22.176,17.504,4.672,1.174,72.161,80.703,61.354,19.349,4.695
LEUN014,(1)Leonte,Geres,NAT,UN,Stone,19.208,24.758,15.251,9.507,2.702,77.588,88.677,64.400,24.278,5.974
LEUN015,(1)Leonte,Geres,NAT,UN,Bare,26.245,49.960,15.745,34.215,12.304,53.736,91.186,24.899,66.288,23.957
LEUN016,(1)Leonte,Geres,NAT,UN,Bare,27.240,45.730,17.343,28.387,9.513,40.800,75.481,14.761,60.720,20.093
LIBU017,(6)Barragem,Lindoso,NAT,BU,Stone,23.644,31.460,17.876,13.584,4.519,72.731,90.796,51.890,38.906,12.669
LIBU018,(6)Barragem,Lindoso,NAT,BU,Stone,25.413,33.431,19.270,14.161,4.687,54.826,71.596,36.863,34.734,10.913
LIBU019,(6)Barragem,Lindoso,NAT,BU,Bare,29.124,52.807,19.393,33.414,10.078,41.649,77.300,10.553,66.748,23.072
LIBU020,(6)Barragem,Lindoso,NAT,BU,Bare,31.143,53.454,19.690,33.764,11.334,38.274,75.231,9.310,65.922,23.521
LIUN021,(5)Parada,Lindoso,HUMAN,UN,Stone,23.246,26.932,19.763,7.169,2.400,62.290,71.832,51.151,20.682,5.362
LIUN022,(5)Parada,Lindoso,HUMAN,UN,Stone,23.241,29.412,18.160,11.252,3.430,62.768,76.341,47.177,29.164,8.319
LIUN023,(5)Parada,Lindoso,HUMAN,UN,Bare,27.830,66.121,13.503,52.618,18.232,38.961,87.618,5.059,82.560,29.908
LIUN024,(5)Parada,Lindoso,HUMAN,UN,Bare,29.191,48.937,19.416,29.521,10.189,42.684,74.329,14.422,59.908,21.976
