POP,LOCAL,HAB,COND,Air Temp,HGR,INC,SOIL,VEG,ROCK,ROCK_RM,WALL,ROCKD,SOIL1,VEG1,ROCK1,SOIL1_T,VEG1_T,ROCK1_T,SUBTEMP,APPROACH,FLIGHT,REFUGE,REFUGETEMP,SOIL2,VEG2,ROCK2,SOIL2_T,VEG2_T,ROCK2_T,COLOR,TAIL
(6)Barragem,Lindoso,NAT,BURN,26.8,45,25,0,0,1,0,0,80,0.1,0.4,0.5,0.100167421,0.411516846,0.523598776,44.4,220,65,rock,15.9,0,0.7,0.3,0,0.775397497,0.304692654,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,27.5,100,45,0,0,1,0,0,300,0,0,1,0,0,1.570796327,43.7,420,180,rock,22.2,0,0.05,0.95,0,0.050020857,1.253235898,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,27.3,0,0,0,0,0,1,0,RM,0.1,0.3,0.6,0.100167421,0.304692654,0.643501109,24.8,250,40,veg,22.3,0.2,0.4,0.4,0.201357921,0.411516846,0.411516846,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,26.5,15,0,0,0,1,0,0,250,0.25,0.05,0.7,0.252680255,0.050020857,0.775397497,36.6,230,10,rock,27.1,0.25,0.05,0.7,0.252680255,0.050020857,0.775397497,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,27.2,10,10,0,0,1,0,0,20,0.3,0.3,0.4,0.304692654,0.304692654,0.411516846,33.8,220,60,rock,13.4,0.2,0.1,0.7,0.201357921,0.100167421,0.775397497,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,25.7,25,90,0,0,1,0,0,200,0.4,0.2,0.4,0.411516846,0.201357921,0.411516846,38.2,180,25,soil,25.1,0.4,0.2,0.4,0.411516846,0.201357921,0.411516846,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,26,110,10,0,0,1,0,0,400,0.1,0,0.9,0.100167421,0,1.119769515,29.1,40,70,rock,26.1,0,0.3,0.7,0,0.304692654,0.775397497,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,24.7,65,20,0,0,1,0,0,150,0,0.4,0.6,0,0.411516846,0.643501109,30.8,230,50,veg,13.9,0,0.6,0.4,0,0.643501109,0.411516846,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,27.5,70,15,0,0,1,0,0,100,0,0.3,0.7,0,0.304692654,0.775397497,49.6,305,30,rock,15.9,0,0.3,0.7,0,0.304692654,0.775397497,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,27.7,100,85,0,0,0,1,0,RM,0,0.3,0.7,0,0.304692654,0.775397497,28.3,350,40,veg,22,0,0.5,0.5,0,0.523598776,0.523598776,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,28.3,120,10,0,0,0,1,0,RM,0,0.2,0.8,0,0.201357921,0.927295218,45.5,290,10,rock,36.1,0,0.2,0.8,0,0.201357921,0.927295218,Spot,ok
(6)Barragem,Lindoso,NAT,BURN,28.3,70,90,0,0,0,1,0,RM,0,0.5,0.5,0,0.523598776,0.523598776,27.7,310,20,veg,21.8,0,0.5,0.5,0,0.523598776,0.523598776,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,26.6,25,70,0,0,0,1,0,RM,0,0.1,0.9,0,0.100167421,1.119769515,26.8,340,50,rock,44,0,0.1,0.9,0,0.100167421,1.119769515,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,26.2,100,85,0,0,0,1,0,RM,0,0.05,0.95,0,0.050020857,1.253235898,18,440,50,rock,23,0,0.05,0.95,0,0.050020857,1.253235898,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,26.6,90,60,0,0,0,1,0,RM,0,0.5,0.5,0,0.523598776,0.523598776,29.4,355,70,rock,10.3,0,0.7,0.3,0,0.775397497,0.304692654,Spot,reg
(6)Barragem,Lindoso,NAT,BURN,31.7,145,90,0,0,0,1,0,RM,0,0.4,0.6,0,0.411516846,0.643501109,21.6,305,90,rock,10.2,0,0.2,0.8,0,0.201357921,0.927295218,Unif,reg
(6)Barragem,Lindoso,NAT,BURN,30.3,75,60,0,0,1,0,0,75,0,0.3,0.7,0,0.304692654,0.775397497,26.1,180,60,rock,10.2,0,0.3,0.7,0,0.304692654,0.775397497,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,26.6,35,85,0,0,0,1,0,RM,0.3,0.15,0.55,0.304692654,0.150568273,0.582364238,23,560,110,rock,19.6,0,0.4,0.6,0,0.411516846,0.643501109,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,26.3,95,70,0,0,0,1,0,RM,0,0,1,0,0,1.570796327,36.8,280,40,rock,13.9,0,0.2,0.8,0,0.201357921,0.927295218,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,30.1,190,90,0,0,0,1,0,RM,0,0,1,0,0,1.570796327,24.9,445,10,rock,15.2,0,0,1,0,0,1.570796327,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,26.2,100,60,0,0,0,1,0,RM,0,0.1,0.9,0,0.100167421,1.119769515,30.1,295,30,rock,16.1,0,0.1,0.9,0,0.100167421,1.119769515,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,26.5,60,45,0,0,0,1,0,RM,0,0,1,0,0,1.570796327,39.8,270,140,rock,21.5,0,0,1,0,0,1.570796327,Unif,ok
(6)Barragem,Lindoso,NAT,BURN,30.2,80,70,0,0,0,1,0,RM,0,0,1,0,0,1.570796327,32.9,220,80,rock,12.2,0,0.2,0.8,0,0.201357921,0.927295218,Spot,ok
(6)Barragem,Lindoso,NAT,BURN,30.4,90,90,0,0,0,1,0,RM,0,0.25,0.75,0,0.252680255,0.848062079,29.9,555,75,rock,21.2,0,0.15,0.85,0,0.150568273,1.015985294,Unif,ok
