"CODE","sprint","climb"
"max.temp","CL2","154.902392470267","154.620291052008"
"max.temp.1","CL3","136.891256817337","184.335349297704"
"max.temp.2","CL4","177.00537066084","208.596636373174"
"max.temp.3","CL5","112.770149633325","158.282959824327"
"max.temp.4","CL6","152.758583063363","140.554946479591"
"max.temp.5","CL7","145.751840957972","131.927894481428"
"max.temp.6","CL8","184.466302772186","161.169055102089"
"max.temp.7","CL9","180.583789104673","161.798208460151"
"max.temp.8","CL10","119.2266034802","135.784651109155"
"max.temp.9","CL11","169.737488138775","171.97552375387"
"max.temp.10","CL12","130.196805444686","140.773036262332"
"max.temp.11","CL13","195.780656708942","187.177061585401"
"max.temp.12","CL14","131.69250433228","136.125473445864"
"max.temp.13","CL15","157.602722142066","159.076867020472"
"max.temp.14","CL16","147.395895823526","176.68839782992"
"max.temp.15","CL17","151.762516100402","151.359915990442"
"max.temp.16","CL18","138.562621142366","171.956287279156"
"max.temp.17","CL19","205.154882654689","212.75277828234"
"max.temp.18","CL20","111.632028326057","134.636888975315"
"max.temp.19","CG1","169.491086416298","161.971140967083"
"max.temp.20","CG2","151.609000703891","190.257117793767"
"max.temp.21","CG3","141.474017397888","172.511656675438"
"max.temp.22","CG4","223.319897210485","195.39131418706"
"max.temp.23","CG5","192.035490805175","193.79451012257"
"max.temp.24","CG6","170.533539637389","162.768061154895"
"max.temp.25","CG7","147.739748400699","155.426626154363"
"max.temp.26","CG8","133.639608407087","145.769495885391"
"max.temp.27","CG9","148.811685968361","172.689183330407"
"max.temp.28","CG10","157.903762673178","180.887857353061"
"max.temp.29","CG11","169.122872832482","177.807744701132"
"max.temp.30","CG12","166.615943542903","153.618195281077"
"max.temp.31","CG13","163.354114247188","142.076426863768"
"max.temp.32","CG14","137.742287461554","192.943050732183"
"max.temp.33","CG15","155.956764005519","187.142605919727"
"max.temp.34","CG16","160.701561787758","160.808437202407"
"max.temp.35","CG17","184.526754942492","153.172980473159"
"max.temp.36","CG18","199.047570280096","198.879013546864"
"max.temp.37","CG19","169.388795462967","153.788709600019"
"max.temp.38","CG20","188.001534834056","254.522156427129"
"max.temp.39","PL1","164.239375644895","201.854614814477"
"max.temp.40","PL2","178.177899569","175.491403735683"
"max.temp.41","PL3","197.843334338685","167.529356296095"
"max.temp.42","PL4","183.955702411175","161.231433378813"
"max.temp.43","PL5","116.025078277691","155.335736535096"
"max.temp.44","PL6","118.021546605769","150.582119963091"
"max.temp.45","PL7","143.152764859931","162.44210349995"
"max.temp.46","PL8","147.442052094044","173.643763522305"
"max.temp.47","PL9","173.462047952065","181.287864461392"
"max.temp.48","PL10","143.463415219853","158.66488025762"
"max.temp.49","PL11","133.692217330231","163.632094237079"
"max.temp.50","PL12","130.810671069467","124.03941911834"
"max.temp.51","PL13","156.517059776927","151.659169748098"
"max.temp.52","PL14","144.43810553579","133.106346157734"
"max.temp.53","PL15","158.39539222049","142.604654743224"
"max.temp.54","PL16","136.367124867619","138.960077050912"
"max.temp.55","PL17","150.281250072096","176.089419068392"
"max.temp.56","PL18","190.160768601978","176.710155898479"
"max.temp.57","PL19","167.412497708181","172.198535360908"
"max.temp.58","PL20","164.120649086617","152.928803648186"
"max.temp.59","LU1","128.077414493327","122.369129610801"
"max.temp.60","LU2","112.818629636831","125.621836210259"
"max.temp.61","LU3","137.05570840561","130.72438549808"
"max.temp.62","LU4","109.924446594652","124.200679499592"
"max.temp.63","LU5","124.492727286291","126.637716857905"
"max.temp.64","LU6","158.566467054197","146.351543396372"
"max.temp.65","LU7","133.449568717452","142.651562111563"
"max.temp.66","LU8","153.776203095339","168.360615569977"
"max.temp.67","LU9","118.62096881864","108.478467952876"
"max.temp.68","LU10","185.94041835829","197.737168102245"
"max.temp.69","LU11","133.562029232673","130.201630665409"
"max.temp.70","LU12","166.913201704135","176.781617230583"
"max.temp.71","LU13","148.723081338823","187.119144645813"
"max.temp.72","LU14","143.801992222301","136.233102761501"
"max.temp.73","LU15","148.385470154257","133.514003696091"
"max.temp.74","LU16","171.437794344896","178.892261101984"
"max.temp.75","LU17","132.70313903863","134.229462904227"
"max.temp.76","LU18","162.727341292327","127.590316446382"
"max.temp.77","LU19","143.310143398647","164.317910288756"
"max.temp.78","LU20","130.603239280749","93.0812720143621"
"max.temp.79","AL1","143.721687785413","147.793870427022"
"max.temp.80","AL2","167.152423540341","156.594071625711"
"max.temp.81","AL3","151.784919240597","147.698313328684"
"max.temp.82","AL4","162.659172324843","144.904721010209"
"max.temp.83","AL5","121.243878524761","136.979450199813"
"max.temp.84","AL6","149.829475932829","145.497368348161"
"max.temp.85","AL7","144.778855942551","202.729906802035"
"max.temp.86","AL8","160.938911475519","193.972343836027"
"max.temp.87","AL9","183.050004907971","201.039785912715"
"max.temp.88","AL10","192.620830967707","162.457743194004"
"max.temp.89","AL11","159.768613885103","120.522011997914"
"max.temp.90","AL12","159.890166482896","173.057789500682"
"max.temp.91","AL13","181.509415064112","164.279245388101"
"max.temp.92","AL14","171.976110261014","175.45596839598"
"max.temp.93","AL15","159.805481769757","191.514021867233"
"max.temp.94","AL16","162.012845099049","165.776607906481"
"max.temp.95","AL17","196.803044785432","185.380460841051"
"max.temp.96","AL18","184.124651505775","181.870933782037"
"max.temp.97","AL19","180.702645066599","148.098377321048"
"max.temp.98","AL20","168.953106368796","168.39363903168"
"max.temp.99","BL1","168.947437955155","156.096164968418"
"max.temp.100","BL2","159.7652254581","156.615245462346"
"max.temp.101","BL3","167.29212080398","146.618227516325"
"max.temp.102","BL4","170.906324226662","188.235485088048"
"max.temp.103","BL5","158.561627946917","138.848825230583"
"max.temp.104","BL6","114.718858420868","159.988992761804"
"max.temp.105","BL7","147.551484571054","154.235387456077"
"max.temp.106","BL8","142.713569811023","172.601677279762"
"max.temp.107","BL9","175.388536880213","189.208215333996"
"max.temp.108","BL10","145.165913818327","155.877535326627"
"max.temp.109","BL11","163.15779764149","179.746780900435"
"max.temp.110","BL12","162.859655632559","165.158552178436"
"max.temp.111","BL13","146.283383640922","189.213433402832"
"max.temp.112","BL14","157.424486515543","174.583384161331"
"max.temp.113","BL15","143.929622344079","182.140256476279"
"max.temp.114","BL16","132.148436212029","185.354377507425"
"max.temp.115","BL17","135.381257634656","182.535199673169"
"max.temp.116","BL18","152.364137200566","140.211831971529"
"max.temp.117","BL19","161.536775470874","134.606218803397"
"max.temp.118","BL20","133.929324894974","151.418188091185"
